PROVINCIA,POBLACIÓN,PESO_PASO,GANADOR_PASO,PESO_GENERALES,GANADOR_GENERALES
CABA,2890151,0.5,1,0.5,1
BUENOS AIRES,15625084,0.5,1,0.5,1
CATAMARCA,367828,12,100,12,100
CHACO,1055259,2.6,1,20,100
CHUBUT,509108,2.5,1,2.5,1
CORDOBA,3308876,1,1,1,1
CORRIENTES,992595,2.6,1,2.6,1
ENTRE RIOS,1235994,2.4,1,2.4,1
FORMOSA,530162,23,100,23,100
JUJUY,673307,2.3,1,2.3,1
LA PAMPA,318951,4,1,4,1
LA RIOJA,333642,17,100,17,100
MENDOZA,1738929,2,1,2,1
MISIONES,1101593,2.7,1,2.7,1
NEUQUEN,551266,0,0,0,0
RIO NEGRO,638645,0,0,0,0
SALTA,1214441,2.3,1,14,100
SAN JUAN,681055,27,100,27,100
SAN LUIS,432310,0,0,0,0
SANTA CRUZ,273964,3,1,3,1
SANTA FE,3194537,1.3,1,1.3,1
SANTIAGO DEL ESTERO,874006,37,100,37,100
TIERRA DEL FUEGO,127205,4.5,1,10,100
TUCUMAN,1448188,50,100,50,100
