Provincia,Año 2021,Votantes,Puntos x tot,Puntos x vot,Votos JxC,Voto FdT,Partido que ganó
Ciudad Autónoma de Buenos Aires,3.078.836,1.777.562,31,18,841.205,430.467,JxC
Buenos Aires,17.709.598,8.434.037,177,84,3149989,2.789.022,JxC
Catamarca,"418.991,000",180.323,4,2,54919,90.555,FdT
Chaco,1.216.247,571.728,12,6,247.466,199.984,JxC
Chubut,"629.181,000",292.257,6,3,107.842,72.123,JxC
Córdoba,3.798.261,1.872.334,38,19,864.380,446.545,JxC
Corrientes,1.130.320,570211,11,6,329.354,190.966,JxC
Entre Ríos,1.398.510,800.807,14,8,398.655,227.242,JxC
Formosa,"610.019,000",317.396,6,3,90.083,150.154,FdT
Jujuy,"779.212,000",363.936,8,4,162.490,99.134,JxC
La Pampa,"361.394,000",198.936,4,2,93.386,73.328,JxC
La Rioja,"398.648,000",182.167,4,2,40.714,91.855,FdT
Mendoza,2.010.363,1.023.775,20,10,424.671,148.614,JxC
Misiones,1.274.992,618.267,13,6,243.295,197.494,JxC
Neuquén,672.461,393.308,7,4,66.687,56.747,JxC
Río Negro,757.052,376.195,8,4,95.443,88.224,JxC
Salta,1.441.988,605.097,14,6,170.156,172.550,FdT
San Juan,789.489,385.008,8,4,142.781,160.103,FdT
San Luis,514.610,264.661,5,3,118.774,5.166,JxC
Santa Cruz,374.756,162.025,4,2,58.504,40.111,JxC
Santa Fe,3.563.390,1.755.606,36,18,664.917,482.872,JxC
Santiago del Estero,988.245,530.333,10,5,81.201,289.204,FdT
Tierra del Fuego. Antártida e Islas del Atlántico Sur,177.697,101.464,2,1,33.562,30.343,JxC
Tucumán,1.714.487,988.167,17,10,336.567,479.786,FdT
