state,id,points
Alabama,1,9
Alaska,2,3
Arizona,4,11
Arkansas,5,6
California,6,55
Colorado,8,9
Connecticut,9,7
Delaware,10,3
District of Columbia,11,3
Florida,12,29
Georgia,13,16
Hawaii,15,4
Idaho,16,4
Illinois,17,20
Indiana,18,11
Iowa,19,6
Kansas,20,6
Kentucky,21,8
Louisiana,22,8
Maine,23,4
Maryland,24,10
Massachusetts,25,11
Michigan,26,16
Minnesota,27,10
Mississippi,28,6
Missouri,29,10
Montana,30,3
Nebraska,31,5
Nevada,32,6
New Hampshire,33,4
New Jersey,34,14
New Mexico,35,5
New York,36,29
North Carolina,37,15
North Dakota,38,3
Ohio,39,18
Oklahoma,40,7
Oregon,41,7
Pennsylvania,42,20
Rhode Island,44,4
South Carolina,45,9
South Dakota,46,3
Tennessee,47,11
Texas,48,38
Utah,49,6
Vermont,50,3
Virginia,51,13
Washington,53,12
West Virginia,54,5
Wisconsin,55,10
Wyoming,56,3
