Provincia,Año 2021,Votantes,Puntos x tot,Puntos x vot,Votos JXC,Voto FdT,Partido que gano
CABA,3.078.836,1777562,31.00,18.00,"841.205,00","430.467,00",JxC
Buenos Aires,17.709.598,8434037,177.00,84.00,"3.149.989,00","2.789.022,00",JxC
Catamarca,"418.991,000",180323,4.00,2.00,"54.919,00","90.555,00",FdT
Chaco,1.216.247,571728,12.00,6.00,"247.466,00","199.984,00",JxC
Chubut,"629.181,000",292257,6.00,3.00,"107.842,00","72.123,00",JxC
Cordoba,3.798.261,1872334,38.00,19.00,"864.380,00","446.545,00",JxC
Corrientes,1.130.320,570211,11.00,6.00,"329.354,00","190.966,00",JxC
Entre Ri­os,1.398.510,800807,14.00,8.00,"398.655,00","227.242,00",JxC
Formosa,"610.019,000",317396,6.00,3.00,"90.083,00","150.154,00",FdT
Jujuy,"779.212,000",363936,8.00,4.00,"162.490,00","99.134,00",JxC
La Pampa,"361.394,000",198936,4.00,2.00,"93.386,00","73.328,00",JxC
La Rioja,"398.648,000",182167,4.00,2.00,"40.714,00","91.855,00",FdT
Mendoza,2.010.363,1023775,20.00,10.00,"424.671,00","148.614,00",JxC
Misiones,1.274.992,618267,13.00,6.00,"243.295,00","197.494,00",JxC
Neuquen,672.46,393308,7.00,4.00,"66.687,00","56.747,00",JxC
Rio Negro,757.05,376195,8.00,4.00,"95.443,00","88.224,00",JxC
Salta,1.441.988,605097,14.00,6.00,"170.156,00","172.550,00",FdT
San Juan,789.49,385008,8.00,4.00,"142.781,00","160.103,00",FdT
San Luis,514.61,264661,5.00,3.00,"118.774,00","5.166,00",JxC
Santa Cruz,374.76,162025,4.00,2.00,"58.504,00","40.111,00",JxC
Santa Fe,3.563.390,1755606,36.00,18.00,"664.917,00","482.872,00",JxC
Santiago del Estero,988.25,530333,10.00,5.00,"81.201,00","289.204,00",FdT
Tierra del Fuego. ,177.70,101464,2.00,1.00,"33.562,00","30.343,00",JxC
Tucuman,1.714.487,988167,17.00,10.00,"336.567,00","479.786,00",FdT
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
