Provincia,Partido,Cantidad,Votantes,Puntos JxC,Puntos FdT
CABA,JxC,"855.562,00",1.860.754,"31,00",0
CABA,FdT,"456.876,00",1.860.754,,
Buenos Aires,JxC,"3.480.298,00",9.133.379,"177,00",0
Buenos Aires,FdT,"3.368.310,00",9.133.379,,
Catamarca,JxC,"74.709,00",217.392,"0,00","4,00"
Catamarca,FdT,"101.515,00",217.392,,
Chaco,JxC,"254.546,00",625.387,0,"12,00"
Chaco,FdT,"263.929,00",625.387,,
Chubut,JxC,"108.556,00",306.554,"6,00",0
Chubut,FdT,"80.988,00",306.554,,
Cordoba,JxC,"1.059.399,00",2.023.579,"38,00",0
Cordoba,FdT,"205.581,00",2.023.579,,
Corrientes,JxC,"318.542,00",568069,"11,00",0
Corrientes,FdT,"197.395,00",568069,,
Entre Rios,JxC,"432.314,00",828.057,"14,00",0
Entre Rios,FdT,"250.895,00",828.057,,
Formosa,JxC,"126.298,00",323.223,"0,00",6
Formosa,FdT,"175.171,00",323.223,,
Jujuy,JxC,"196.293,00",417.812,"8,00",0
Jujuy,FdT,"103.464,00",417.812,,
La Pampa,JxC,"101.259,00",219.881,"4,00",0
La Pampa,FdT,"89.409,00",219.881,,
La Rioja,JxC,"49.077,00",204.669,"0,00",4
La Rioja,FdT,"98.303,00",204.669,,
Mendoza,JxC,"486.149,00",1.079.612,"20,00",0
Mendoza,FdT,"256.199,00",1.079.612,,
Misiones,JxC,"256.090,00",650.175,"13,00",0
Misiones,FdT,"95.441,00",650.175,,
Neuquen,JxC,"86.067,00",400.705,"7,00",0
Neuquen,FdT,"65.693,00",400.705,,
Rio Negro,JxC,"100.955,00",394.453,"8,00",0
Rio Negro,FdT,"100.199,00",394.453,,
Salta,JxC,"186.947,00",661.658,"0,00",14
Salta,FdT,"200.730,00",661.658,,
San Juan,JxC,"171.923,00",424.06,"0,00",8
San Juan,FdT,"176.969,00",424.06,,
San Luis,JxC,"13.683,00",300.965,"5,00",0
San Luis,FdT,"3.600,00",300.965,,
Santa Cruz,JxC,"57.571,00",173.362,"4,00",0
Santa Cruz,FdT,"45.292,00",173.362,,
Santa Fe,JxC,"724.008,00",1.916.713,"36,00",0
Santa Fe,FdT,"563.323,00",1.916.713,,
Santiago del Estero,JxC,"71.837,00",565.256,"0,00",10
Santiago del Estero,FdT,"338.599,00",565.256,,
Tierra del Fuego,JxC,"27.454,00",102.47,"0,00",2
Tierra del Fuego,FdT,"37.662,00",102.47,,
Tucuman,JxC,"385.054,00",1.008.613,"0,00",17
Tucuman,FdT,"406.411,00",1.008.613,,
