Provincia,Partido,Cantidad,Votantes,Porcentaje,Puntos JxC,Puntos FdT
CABA,JxC,841205,1.777.562,"47,32","31,00",0
CABA,FdT,430467,1.777.562,"24,22",,
Buenos Aires,JxC,3149989,8.434.037,"37,35","177,00",0
Buenos Aires,FdT,2789022,8.434.037,"33,07",,
Catamarca,JxC,54919,180.323,"30,46","0,00","4,00"
Catamarca,FdT,90555,180.323,"50,22",,
Chaco,JxC,247466,571.728,"43,28",0,"12,00"
Chaco,FdT,199984,571.728,"34,98",,
Chubut,JxC,107842,292.257,"36,90","6,00",0
Chubut,FdT,72123,292.257,"24,68",,
Cordoba,JxC,864380,1.872.334,"46,17","38,00",0
Cordoba,FdT,446545,1.872.334,"23,85",,
Corrientes,JxC,329354,570.211,"57,76","11,00",0
Corrientes,FdT,190966,570.211,"33,49",,
Entre Rios,JxC,398655,800.807,"49,78","14,00",0
Entre Rios,FdT,227242,800.807,"28,38",,
Formosa,JxC,90083,317.396,"28,38","0,00",6
Formosa,FdT,150154,317.396,"47,31",,
Jujuy,JxC,162490,363.936,"44,65","8,00",0
Jujuy,FdT,99134,363.936,"27,24",,
La Pampa,JxC,93386,198.936,"46,94","4,00",0
La Pampa,FdT,73328,198.936,"36,86",,
La Rioja,JxC,40714,182.167,"22,35","0,00",4
La Rioja,FdT,91855,182.167,"50,42",,
Mendoza,JxC,424671,1.023.775,"41,48","20,00",0
Mendoza,FdT,148614,1.023.775,"14,52",,
Misiones,JxC,243295,618.267,"39,35","13,00",0
Misiones,FdT,197494,618.267,"31,94",,
Neuquen,JxC,66687,393.308,"16,96","7,00",0
Neuquen,FdT,56747,393.308,"14,43",,
Rio Negro,JxC,95443,376.195,"25,37","8,00",0
Rio Negro,FdT,88224,376.195,"23,45",,
Salta,JxC,170156,605.097,"28,12","0,00",14
Salta,FdT,172550,605.097,"28,52",,
San Juan,JxC,142781,385.008,"37,09","0,00",8
San Juan,FdT,160103,385.008,"41,58",,
San Luis,JxC,118774,264.661,"44,88","5,00",0
San Luis,FdT,5166,264.661,"1,95",,
Santa Cruz,JxC,58504,162.025,"36,11","4,00",0
Santa Cruz,FdT,40111,162.025,"24,76",,
Santa Fe,JxC,664917,1.755.606,"37,87","36,00",0
Santa Fe,FdT,482872,1.755.606,"27,50",,
Santiago del Estero,JxC,81201,530.333,"15,31","0,00",10
Santiago del Estero,FdT,289204,530.333,"54,53",,
Tierra del Fuego,JxC,33562,101.464,"33,08","0,00",2
Tierra del Fuego,FdT,30343,101.464,"29,91",,
Tucuman,JxC,336567,988.167,"34,06","0,00",17
Tucuman,FdT,479786,988.167,"48,55",,
