Provincia,Partido,Cantidad,Votantes,Puntos JxC,Puntos FdT
CABA,JxC,"855.562,00",1.860.754,"31,00",0.00
CABA,FdT,"456.876,00",1.860.754,,
Buenos Aires,JxC,"3.480.298,00",9.133.379,"177,00",0.00
Buenos Aires,FdT,"3.368.310,00",9.133.379,,
Catamarca,JxC,"74.709,00",217.39,"0,00","4,00"
Catamarca,FdT,"101.515,00",217.39,,
Chaco,JxC,"254.546,00",625.39,0.00,"12,00"
Chaco,FdT,"263.929,00",625.39,,
Chubut,JxC,"108.556,00",306.55,"6,00",0.00
Chubut,FdT,"80.988,00",306.55,,
Cordoba,JxC,"1.059.399,00",2.023.579,"38,00",0.00
Cordoba,FdT,"205.581,00",2.023.579,,
Corrientes,JxC,"318.542,00",568069.00,"11,00",0.00
Corrientes,FdT,"197.395,00",568069.00,,
Entre Rios,JxC,"432.314,00",828.06,"14,00",0.00
Entre Rios,FdT,"250.895,00",828.06,,
Formosa,JxC,"126.298,00",323.22,"0,00",6.00
Formosa,FdT,"175.171,00",323.22,,
Jujuy,JxC,"196.293,00",417.81,"8,00",0.00
Jujuy,FdT,"103.464,00",417.81,,
La Pampa,JxC,"101.259,00",219.88,"4,00",0.00
La Pampa,FdT,"89.409,00",219.88,,
La Rioja,JxC,"49.077,00",204.67,"0,00",4.00
La Rioja,FdT,"98.303,00",204.67,,
Mendoza,JxC,"486.149,00",1.079.612,"20,00",0.00
Mendoza,FdT,"256.199,00",1.079.612,,
Misiones,JxC,"256.090,00",650.18,"13,00",0.00
Misiones,FdT,"95.441,00",650.18,,
Neuquen,JxC,"86.067,00",400.71,"7,00",0.00
Neuquen,FdT,"65.693,00",400.71,,
Rio Negro,JxC,"100.955,00",394.45,"8,00",0.00
Rio Negro,FdT,"100.199,00",394.45,,
Salta,JxC,"186.947,00",661.66,"0,00",14.00
Salta,FdT,"200.730,00",661.66,,
San Juan,JxC,"171.923,00",424.06,"0,00",8.00
San Juan,FdT,"176.969,00",424.06,,
San Luis,JxC,"13.683,00",300.97,"5,00",0.00
San Luis,FdT,"3.600,00",300.97,,
Santa Cruz,JxC,"57.571,00",173.36,"4,00",0.00
Santa Cruz,FdT,"45.292,00",173.36,,
Santa Fe,JxC,"724.008,00",1.916.713,"36,00",0.00
Santa Fe,FdT,"563.323,00",1.916.713,,
Santiago del Estero,JxC,"71.837,00",565.26,"0,00",10.00
Santiago del Estero,FdT,"338.599,00",565.26,,
Tierra del Fuego,JxC,"27.454,00",102.47,"0,00",2.00
Tierra del Fuego,FdT,"37.662,00",102.47,,
Tucuman,JxC,"385.054,00",1.008.613,"0,00",17.00
Tucuman,FdT,"406.411,00",1.008.613,,
