Provincia,Partido,Puntos
CABA,JxC,31
CABA,FdT,0
Buenos Aires,JxC,177
Buenos Aires,FdT,0
Catamarca,JxC,0
Catamarca,FdT,4
Chaco,JxC,12
Chaco,FdT,0
Chubut,JxC,6
Chubut,FdT,0
Cordoba,JxC,38
Cordoba,FdT,0
Corrientes,JxC,11
Corrientes,FdT,0
Entre Rios,JxC,14
Entre Rios,FdT,0
Formosa,JxC,0
Formosa,FdT,6
Jujuy,JxC,8
Jujuy,FdT,0
La Pampa,JxC,4
La Pampa,FdT,0
La Rioja,JxC,0
La Rioja,FdT,4
Mendoza,JxC,20
Mendoza,FdT,0
Misiones,JxC,13
Misiones,FdT,0
Neuquen,JxC,0
Neuquen,FdT,0
Rio Negro,JxC,0
Rio Negro,FdT,0
Salta,JxC,14
Salta,FdT,0
San Juan,JxC,0
San Juan,FdT,8
San Luis,JxC,0
San Luis,FdT,0
Santa Cruz,JxC,4
Santa Cruz,FdT,0
Santa Fe,JxC,36
Santa Fe,FdT,0
Santiago del Estero,JxC,0
Santiago del Estero,FdT,10
Tierra del Fuego,JxC,2
Tierra del Fuego,FdT,0
Tucuman,JxC,0
Tucuman,FdT,17
